file_id,file_path,detection_id,detection_start_s,detection_end_s,presence_label,species_name,detection_probability,id,det_prob,high_freq,low_freq,class,class_prob,_source_csv,label,score
00235_eptesicus_serotinus_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00235_eptesicus_serotinus_0_1.0.wav,00235_eptesicus_serotinus_0_1.0.wav:0.133-0.145,0.1325,0.1447,present,Eptesicus serotinus,0.719,13,0.719,39448,27187,Eptesicus serotinus,0.552,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,present,0.719
00235_eptesicus_serotinus_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00235_eptesicus_serotinus_0_1.0.wav,00235_eptesicus_serotinus_0_1.0.wav:0.458-0.468,0.4575,0.4677,present,Eptesicus serotinus,0.756,38,0.756,42203,28046,Eptesicus serotinus,0.619,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,present,0.756
00235_eptesicus_serotinus_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00235_eptesicus_serotinus_0_1.0.wav,00235_eptesicus_serotinus_0_1.0.wav:0.634-0.645,0.6345,0.645,present,Eptesicus serotinus,0.76,59,0.76,44454,28906,Eptesicus serotinus,0.62,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,present,0.76
00235_eptesicus_serotinus_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00235_eptesicus_serotinus_0_1.0.wav,00235_eptesicus_serotinus_0_1.0.wav:0.851-0.860,0.8505,0.8598,present,Eptesicus serotinus,0.736,81,0.736,45553,28046,Eptesicus serotinus,0.643,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00235_eptesicus_serotinus_0_1.0.wav.csv,present,0.736
00085_pipistrellus_pipistrellus_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00085_pipistrellus_pipistrellus_0_1.0.wav,00085_pipistrellus_pipistrellus_0_1.0.wav:0.049-0.055,0.0485,0.0552,present,Pipistrellus pipistrellus,0.714,7,0.714,73880,46953,Pipistrellus pipistrellus,0.706,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00085_pipistrellus_pipistrellus_0_1.0.wav.csv,present,0.714
00085_pipistrellus_pipistrellus_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00085_pipistrellus_pipistrellus_0_1.0.wav,00085_pipistrellus_pipistrellus_0_1.0.wav:0.127-0.134,0.1265,0.1344,present,Pipistrellus pipistrellus,0.648,14,0.648,79981,46953,Pipistrellus pipistrellus,0.628,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00085_pipistrellus_pipistrellus_0_1.0.wav.csv,present,0.648
00085_pipistrellus_pipistrellus_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00085_pipistrellus_pipistrellus_0_1.0.wav,00085_pipistrellus_pipistrellus_0_1.0.wav:0.212-0.220,0.2125,0.2195,present,Pipistrellus pipistrellus,0.706,24,0.706,69684,46093,Pipistrellus pipistrellus,0.695,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00085_pipistrellus_pipistrellus_0_1.0.wav.csv,present,0.706
00085_pipistrellus_pipistrellus_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00085_pipistrellus_pipistrellus_0_1.0.wav,00085_pipistrellus_pipistrellus_0_1.0.wav:0.300-0.309,0.3005,0.3091,present,Pipistrellus pipistrellus,0.647,28,0.647,63535,46093,Pipistrellus pipistrellus,0.588,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00085_pipistrellus_pipistrellus_0_1.0.wav.csv,present,0.647
00085_pipistrellus_pipistrellus_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00085_pipistrellus_pipistrellus_0_1.0.wav,00085_pipistrellus_pipistrellus_0_1.0.wav:0.379-0.386,0.3785,0.3863,present,Pipistrellus pipistrellus,0.675,35,0.675,77896,46953,Pipistrellus pipistrellus,0.659,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00085_pipistrellus_pipistrellus_0_1.0.wav.csv,present,0.675
00085_pipistrellus_pipistrellus_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00085_pipistrellus_pipistrellus_0_1.0.wav,00085_pipistrellus_pipistrellus_0_1.0.wav:0.448-0.454,0.4475,0.4544,present,Pipistrellus pipistrellus,0.736,42,0.736,84602,45234,Pipistrellus pipistrellus,0.729,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00085_pipistrellus_pipistrellus_0_1.0.wav.csv,present,0.736
00085_pipistrellus_pipistrellus_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00085_pipistrellus_pipistrellus_0_1.0.wav,00085_pipistrellus_pipistrellus_0_1.0.wav:0.516-0.523,0.5165,0.5235,present,Pipistrellus pipistrellus,0.75,48,0.75,82090,45234,Pipistrellus pipistrellus,0.74,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00085_pipistrellus_pipistrellus_0_1.0.wav.csv,present,0.75
00085_pipistrellus_pipistrellus_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00085_pipistrellus_pipistrellus_0_1.0.wav,00085_pipistrellus_pipistrellus_0_1.0.wav:0.584-0.591,0.5835,0.5905,present,Pipistrellus pipistrellus,0.737,54,0.737,82782,46093,Pipistrellus pipistrellus,0.729,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00085_pipistrellus_pipistrellus_0_1.0.wav.csv,present,0.737
00085_pipistrellus_pipistrellus_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00085_pipistrellus_pipistrellus_0_1.0.wav,00085_pipistrellus_pipistrellus_0_1.0.wav:0.651-0.660,0.6515,0.6598,present,Pipistrellus pipistrellus,0.728,64,0.728,81244,44375,Pipistrellus pipistrellus,0.719,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00085_pipistrellus_pipistrellus_0_1.0.wav.csv,present,0.728
00085_pipistrellus_pipistrellus_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00085_pipistrellus_pipistrellus_0_1.0.wav,00085_pipistrellus_pipistrellus_0_1.0.wav:0.716-0.724,0.7155,0.7237,present,Pipistrellus pipistrellus,0.713,68,0.713,84930,44375,Pipistrellus pipistrellus,0.694,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00085_pipistrellus_pipistrellus_0_1.0.wav.csv,present,0.713
00085_pipistrellus_pipistrellus_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00085_pipistrellus_pipistrellus_0_1.0.wav,00085_pipistrellus_pipistrellus_0_1.0.wav:0.783-0.791,0.7835,0.7908,present,Pipistrellus pipistrellus,0.725,77,0.725,82964,43515,Pipistrellus pipistrellus,0.716,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00085_pipistrellus_pipistrellus_0_1.0.wav.csv,present,0.725
00085_pipistrellus_pipistrellus_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00085_pipistrellus_pipistrellus_0_1.0.wav,00085_pipistrellus_pipistrellus_0_1.0.wav:0.849-0.856,0.8485,0.8563,present,Pipistrellus pipistrellus,0.714,81,0.714,89703,44375,Pipistrellus pipistrellus,0.707,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00085_pipistrellus_pipistrellus_0_1.0.wav.csv,present,0.714
00085_pipistrellus_pipistrellus_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00085_pipistrellus_pipistrellus_0_1.0.wav,00085_pipistrellus_pipistrellus_0_1.0.wav:0.920-0.927,0.9205,0.9268,present,Pipistrellus pipistrellus,0.711,90,0.711,81953,44375,Pipistrellus pipistrellus,0.702,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00085_pipistrellus_pipistrellus_0_1.0.wav.csv,present,0.711
00003_myotis_alcathoe_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00003_myotis_alcathoe_0_1.0.wav,00003_myotis_alcathoe_0_1.0.wav:0.152-0.157,0.1525,0.1568,present,Myotis mystacinus,0.542,19,0.542,98358,34921,Myotis mystacinus,0.322,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00003_myotis_alcathoe_0_1.0.wav.csv,present,0.542
00003_myotis_alcathoe_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00003_myotis_alcathoe_0_1.0.wav,00003_myotis_alcathoe_0_1.0.wav:0.185-0.191,0.1855,0.1905,present,Myotis mystacinus,0.538,27,0.538,109194,36640,Myotis mystacinus,0.408,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00003_myotis_alcathoe_0_1.0.wav.csv,present,0.538
00003_myotis_alcathoe_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00003_myotis_alcathoe_0_1.0.wav,00003_myotis_alcathoe_0_1.0.wav:0.233-0.237,0.2325,0.2372,present,Myotis mystacinus,0.624,31,0.624,106618,40937,Myotis mystacinus,0.391,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00003_myotis_alcathoe_0_1.0.wav.csv,present,0.624
00003_myotis_alcathoe_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00003_myotis_alcathoe_0_1.0.wav,00003_myotis_alcathoe_0_1.0.wav:0.367-0.372,0.3675,0.3724,present,Myotis mystacinus,0.532,45,0.532,116416,43515,Myotis mystacinus,0.273,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00003_myotis_alcathoe_0_1.0.wav.csv,present,0.532
00003_myotis_alcathoe_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00003_myotis_alcathoe_0_1.0.wav,00003_myotis_alcathoe_0_1.0.wav:0.421-0.426,0.4215,0.4265,present,Myotis mystacinus,0.525,47,0.525,119229,39218,Myotis mystacinus,0.332,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00003_myotis_alcathoe_0_1.0.wav.csv,present,0.525
00003_myotis_alcathoe_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00003_myotis_alcathoe_0_1.0.wav,00003_myotis_alcathoe_0_1.0.wav:0.481-0.487,0.4815,0.4869,present,Myotis mystacinus,0.54,51,0.54,116906,40937,Myotis mystacinus,0.308,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/predictions/00003_myotis_alcathoe_0_1.0.wav.csv,present,0.54
