filename,path
00235_eptesicus_serotinus_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00235_eptesicus_serotinus_0_1.0.wav
00085_pipistrellus_pipistrellus_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00085_pipistrellus_pipistrellus_0_1.0.wav
00003_myotis_alcathoe_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00003_myotis_alcathoe_0_1.0.wav
00246_eptesicus_serotinus_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00246_eptesicus_serotinus_0_1.0.wav
00033_myotis_bechsteinii_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00033_myotis_bechsteinii_0_1.0.wav
00220_nyctalus_noctula_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00220_nyctalus_noctula_0_1.0.wav
00050_myotis_brandtii_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00050_myotis_brandtii_0_1.0.wav
00042_myotis_bechsteinii_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00042_myotis_bechsteinii_0_1.0.wav
00127_nyctalus_leisleri_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00127_nyctalus_leisleri_0_1.0.wav
00028_myotis_bechsteinii_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00028_myotis_bechsteinii_0_1.0.wav
00265_pipistrellus_pygmaeus_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00265_pipistrellus_pygmaeus_0_1.0.wav
00057_plecotus_auritus_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00057_plecotus_auritus_0_1.0.wav
00072_pipistrellus_pipistrellus_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00072_pipistrellus_pipistrellus_0_1.0.wav
00289_myotis_mystacinus_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00289_myotis_mystacinus_0_1.0.wav
00238_eptesicus_serotinus_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00238_eptesicus_serotinus_0_1.0.wav
00141_pipistrellus_nathusii_0_1.0.wav,/Users/alastairpickering/Desktop/Alastair/PhD/bct_1_sec/audio/00141_pipistrellus_nathusii_0_1.0.wav
