filename,path
20240201_073100T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_073100T.WAV
20240201_073200T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_073200T.WAV
20240201_073300T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_073300T.WAV
20240201_073400T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_073400T.WAV
20240201_073500T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_073500T.WAV
20240201_073600T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_073600T.WAV
20240201_073700T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_073700T.WAV
20240201_073800T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_073800T.WAV
20240201_073900T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_073900T.WAV
20240201_074000T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_074000T.WAV
20240201_074100T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_074100T.WAV
20240201_074300T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_074300T.WAV
20240201_074400T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_074400T.WAV
20240201_074500T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_074500T.WAV
20240201_074600T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_074600T.WAV
20240201_074700T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_074700T.WAV
20240201_074800T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_074800T.WAV
20240201_075000T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075000T.WAV
20240201_075100T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075100T.WAV
20240201_075200T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075200T.WAV
20240201_075300T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075300T.WAV
20240201_075400T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075400T.WAV
20240201_075500T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075500T.WAV
20240201_075600T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075600T.WAV
20240201_075700T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075700T.WAV
20240201_075800T.WAV,/Users/alastairpickering/Desktop/birdnet/audio/20240201_075800T.WAV
